"Contact Details","Chi tiết liên hệ"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Thuộc tính này được sử dụng trong cấu hình sản phẩm. Bạn không thể gỡ bỏ nó từ các thiết lập thuộc tính."
"Associated Products","Sản phẩm liên kết"
"Step 2: Attribute Values","Bước 2: Tính giá trị"
"Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.","Chọn giá trị cho mỗi thuộc tính để thêm vào sản phẩm này. Mỗi sự kết hợp của các giá trị tạo ra một sản phẩm duy nhất."
"Sort Variations","Sắp xếp các biến thể"
"Options","Tùy chọn"
"Select All","Chọn tất cả"
"Deselect All","Bỏ chọn tất cả"
"Remove Attribute","Loại bỏ thuộc tính"
"Save Option","Lưu tùy chọn"
"Remove Option","Hủy bỏ tùy chọn"
"Create New Value","Tạo ra giá trị mới"
"Step 3: Bulk Images, Price and Quantity","Bước 3: Số lượng lớn hình ảnh, giá cả và số lượng"
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.","Dựa trên lựa chọn của mình %1 sản phẩm mới sẽ được tạo ra. Sử dụng các bước này để tuỳ chỉnh hình ảnh và giá cả cho sản phẩm mới của bạn."
"Images","Hình ảnh"
"Apply single set of images to all SKUs","Áp dụng bộ hình ảnh duy nhất cho tất cả SKUs"
"Apply unique images by attribute to each SKU","Áp dụng những hình ảnh độc đáo bởi thuộc tính cho từng Mã sản phẩm"
"Skip image uploading at this time","Bỏ qua hình ảnh tải lên vào thời gian này"
"Browse Files...","Xem theo tệp..."
"Browse to find or drag image here","Tìm hoặc kéo hình ảnh ở đây"
"Remove image","Loại bỏ các hình ảnh"
"Hidden","ẩn"
"Alt Text","Văn bản thay thế"
"Role","Quyền hạn"
"Image Size","Kích thước hình ảnh"
"{size}","{kích thước}"
"Image Resolution","Độ phân giải hình ảnh"
"{width}^{height} px","{width} ^{height} px"
"Hide from Product Page","Ẩn từ trang sản phẩm"
"Select attribute","Chọn thuộc tính"
"Select","Chọn"
"Apply single price to all SKUs","Áp dụng đơn giá cho tất cả mã sản phẩm"
"Apply unique prices by attribute to each SKU","Áp dụng giá duy nhất bởi thuộc tính cho từng Mã sản phẩm"
"Skip price at this time","Bỏ qua giá tại thời điểm này"
"Apply single quantity to each SKUs","Số lượng đơn áp dụng cho các SKUs mỗi"
"Apply unique quantity by attribute to each SKU","Áp dụng số lượng duy nhất bởi thuộc tính cho từng Mã sản phẩm"
"Skip quantity at this time","Bỏ qua số lượng tại thời điểm này"
"Step 1: Select Attributes","Bước 1: Chọn thuộc tính"
"Selected Attributes:","Các thuộc tính đã chọn:"
"Step 4: Summary","Bước 4: Tóm tắt"
"Configurable products allow customers to choose options (Ex: shirt color).
You need to create a simple product for each configuration (Ex: a product for each color).","Cấu hình sản phẩm cho phép khách hàng lựa chọn (ví dụ: màu áo sơ mi). Bạn cần phải tạo ra một sản phẩm đơn giản cho mỗi cấu hình (ví dụ: một sản phẩm cho mỗi màu)."
"Edit Configurations","Chỉnh sửa cấu hình"
"Upload Image","Tải hình"
"Upload image","Tải ảnh lên"
"No Image","Không có hình ảnh"
"Choose a different Product","Chọn một sản phẩm khác"
"Remove Product","Loại bỏ sản phẩm"
"Create Product Configurations","Tạo cấu hình sản phẩm"
"Cancel","Hủy bỏ"
"As low as","As low as"
"Regular Price","Giá thông thường"
"Excl. Tax","Excl. Tax"
"Buy %1 for %2 each and","Mua %1 cho %2 mỗi và"
"save","lưu"
"New Product Review","Đánh giá sản phẩm mới"
"Here are the products you're about to create.","Dưới đây là các sản phẩm bạn sẽ tạo ra."
"You created these products for this configuration.","Bạn tạo ra các sản phẩm cho cấu hình này."
"Disassociated Products","Sản phẩm rời"
"These products are not associated.","Các sản phẩm này không liên kết."
"Disable Product","Vô hiệu hóa sản phẩm"
"Enable Product","Kích hoạt sản phẩm"
"Incl. Tax","Đã bao gồm thuế"
"An attribute has been removed. This attribute will no longer appear in your configurations.","Một thuộc tính đã được gỡ bỏ. Thuộc tính này sẽ không còn xuất hiện trong các cấu hình của bạn."
"Select options for all attributes or remove unused attributes.","Chọn các tùy chọn cho tất cả các thuộc tính hoặc loại bỏ không sử dụng các thuộc tính."
"Choose this option to delete and replace extension data for all past configurations.","Chọn tùy chọn này để xóa bỏ và thay thế dữ liệu tiện ích mở rộng cho tất cả cấu hình trước đây."
"Please select attribute for {section} section.","Vui lòng chọn các thuộc tính cho {section} phần."
"Please fill in the values for {section} section.","Xin vui lòng điền vào các giá trị cho {section} phần."
"Please fill-in correct values.","Xin vui lòng điền vào giá trị đúng."
"Please select image(s) for your attribute.","Hãy chọn hình đại diện."
"Please choose image(s).","Hãy chọn hình ảnh."
"We could not detect a size.","Chúng tôi không xác định một kích thước."
"We don't recognize or support this file extension type.","Chúng tôi không nhận diện được hoặc hỗ trợ định dạng tập tin này."
"When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually.","Khi bạn loại bỏ hoặc thêm một thuộc tính, chúng tôi sẽ tự động cập nhật tất cả cấu hình và bạn sẽ phải tạo lại cấu hình hiện tại thủ công."
"Please select attribute(s).","Bạn hãy chọn (các) thuộc tính."
"Generate Products","Tạo ra sản phẩm"
"Something went wrong.","Đã xảy ra lỗi."
"Configurable Product Image","Cấu hình sản phẩm hình ảnh"
"Select...","Lựa chọn..."
"ID","ID"
"Thumbnail","Hình ảnh thu nhỏ"
"Attribute Code","Mã thuộc tính"
"Attribute Label","Nhãn hiệu thuộc tính"
"Required","Bắt buộc"
"System","Hệ thống"
"Visible","Thấy được"
"Scope","Phạm vi"
"Searchable","Có thể tìm kiếm"
"Comparable","Có thể so sánh"
"As low as: ","As low as: "
"Save","Lưu lại"
"Select...","Lựa chọn..."
"Status","Trạng thái"
"ID","ID"
"Thumbnail","Hình ảnh thu nhỏ"
"Name","Tên"
"SKU","MÃ SẢN PHẨM"
"Price","Giá"
"Quantity","Số lượng"
"Weight","Trọng lượng"
"Attributes","Thuộc tính"
"Attribute Code","Mã thuộc tính"
"Attribute Label","Nhãn hiệu thuộc tính"
"Required","Bắt buộc"
"System","Hệ thống"
"Visible","Thấy được"
"Scope","Phạm vi"
"Searchable","Có thể tìm kiếm"
"Comparable","Có thể so sánh"
"Page not found.","Không tìm thấy trang."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Cảm ơn bạn đã liên hệ với chúng tôi với các ý kiến và câu hỏi của bạn. Chúng tôi sẽ sớm trả lời bạn."
"An error occurred while processing your form. Please try again later.","An error occurred while processing your form. Please try again later."
